survived,sex,age,n_siblings_spouses,parch,fare,class,deck,embark_town,alone
0,male,22.0,1,0,7.25,third,,southampton,n
1,female,38.0,1,0,71.2833,first,c,cherbourg,n
1,female,26.0,0,0,7.925,third,,southampton,y
1,female,35.0,1,0,53.1,first,c,southampton,n
0,male,28.0,0,0,8.4583,third,,queenstown,y
0,male,2.0,3,1,21.075,third,,southampton,n
1,female,27.0,0,2,11.1333,third,,southampton,n
1,female,14.0,1,0,30.0708,second,,cherbourg,n
1,female,4.0,1,1,16.7,third,g,southampton,n
0,male,20.0,0,0,8.05,third,,southampton,y
0,male,39.0,1,5,31.275,third,,southampton,n
0,female,14.0,0,0,7.8542,third,,southampton,y
0,male,2.0,4,1,29.125,third,,queenstown,n
1,male,28.0,0,0,13.0,second,,southampton,y
0,female,31.0,1,0,18.0,third,,southampton,n
1,female,28.0,0,0,7.225,third,,cherbourg,y
0,male,35.0,0,0,26.0,second,,southampton,y
1,male,28.0,0,0,35.5,first,a,southampton,y
1,female,38.0,1,5,31.3875,third,,southampton,n
0,male,28.0,0,0,7.225,third,,cherbourg,y
0,male,19.0,3,2,263.0,first,c,southampton,n
1,female,28.0,0,0,7.8792,third,,queenstown,y
0,male,28.0,0,0,7.8958,third,,southampton,y
0,male,40.0,0,0,27.7208,first,,cherbourg,y
1,female,28.0,1,0,146.5208,first,b,cherbourg,n
1,female,28.0,0,0,7.75,third,,queenstown,y
0,male,66.0,0,0,10.5,second,,southampton,y
0,male,28.0,1,0,82.1708,first,,cherbourg,n
0,male,42.0,1,0,52.0,first,,southampton,n
1,male,28.0,0,0,7.2292,third,,cherbourg,y
1,female,14.0,1,0,11.2417,third,,cherbourg,n
0,female,40.0,1,0,9.475,third,,southampton,n
0,female,27.0,1,0,21.0,second,,southampton,n
0,male,28.0,0,0,7.8958,third,,cherbourg,y
1,female,3.0,1,2,41.5792,second,,cherbourg,n
0,male,28.0,0,0,8.05,third,,southampton,y
0,male,28.0,1,0,15.5,third,,queenstown,n
0,male,28.0,2,0,21.6792,third,,cherbourg,n
0,female,18.0,1,0,17.8,third,,southampton,n
0,male,7.0,4,1,39.6875,third,,southampton,n
1,female,49.0,1,0,76.7292,first,d,cherbourg,n
1,female,29.0,1,0,26.0,second,,southampton,n
0,male,65.0,0,1,61.9792,first,b,cherbourg,n
1,male,28.0,0,0,35.5,first,c,southampton,y
1,female,21.0,0,0,10.5,second,,southampton,y
0,male,28.5,0,0,7.2292,third,,cherbourg,y
0,male,11.0,5,2,46.9,third,,southampton,n
0,male,22.0,0,0,7.2292,third,,cherbourg,y
1,female,38.0,0,0,80.0,first,b,,y
0,male,45.0,1,0,83.475,first,c,southampton,n
0,male,4.0,3,2,27.9,third,,southampton,n
1,male,28.0,1,1,15.2458,third,,cherbourg,n
0,male,19.0,0,0,8.1583,third,,southampton,y
1,female,17.0,4,2,7.925,third,,southampton,n
0,male,26.0,2,0,8.6625,third,,southampton,n
0,male,32.0,0,0,10.5,second,,southampton,y
0,male,21.0,0,0,73.5,second,,southampton,y
1,male,32.0,0,0,56.4958,third,,southampton,y
0,male,25.0,0,0,7.65,third,f,southampton,y
1,male,0.83,0,2,29.0,second,,southampton,n
1,female,30.0,0,0,12.475,third,,southampton,y
0,male,22.0,0,0,9.0,third,,southampton,y
1,male,29.0,0,0,9.5,third,,southampton,y
1,female,28.0,0,0,7.7875,third,,queenstown,y
0,male,28.0,0,0,47.1,first,,southampton,y
0,male,16.0,1,3,34.375,third,,southampton,n
1,female,23.0,3,2,263.0,first,c,southampton,n
0,male,24.0,0,0,8.05,third,,southampton,y
0,male,46.0,1,0,61.175,first,e,southampton,n
0,male,59.0,0,0,7.25,third,,southampton,y
0,male,71.0,0,0,34.6542,first,a,cherbourg,y
1,male,23.0,0,1,63.3583,first,d,cherbourg,n
1,female,34.0,0,1,23.0,second,,southampton,n
0,male,34.0,1,0,26.0,second,,southampton,n
0,female,28.0,0,0,7.8958,third,,southampton,y
0,male,21.0,0,1,77.2875,first,d,southampton,n
0,male,33.0,0,0,8.6542,third,,southampton,y
0,male,37.0,2,0,7.925,third,,southampton,n
1,male,28.0,0,0,7.775,third,,southampton,y
1,female,28.0,1,0,24.15,third,,queenstown,n
0,male,47.0,0,0,52.0,first,c,southampton,y
0,female,14.5,1,0,14.4542,third,,cherbourg,n
0,male,22.0,0,0,8.05,third,,southampton,y
0,female,17.0,0,0,14.4583,third,,cherbourg,y
0,male,21.0,0,0,7.925,third,,southampton,y
0,male,70.5,0,0,7.75,third,,queenstown,y
0,male,29.0,1,0,21.0,second,,southampton,n
